OBJECTID,CRA_NO,Neighborhood ID,Community Reporting Area Name,Neighborhood Names,Neighborhood District,Area in Acres,Area in Sq. Miles,Total Population,Median age,White,White (%),African American,African American (%),American Indian and Alaska Native,American Indian and Alaska Native (%),Asian,Asian (%),Pacific Islander,Pacific Islander (%),Other race,Other race (%),Two or more races,Two or more races (%),Hispanic or Latino,Hispanic or Latino (%_,Population in Households,Population in Households (%),Population in Group Quarter ,Population in Group Quarter (%),Total Housholds,Family Households,Family Households (%),Non-Family Households,Non-Family Households (%),Avg. Household size,Total Housing Units,Occupied Housing Units,Occupied Housing Units (%),Vacant Housing Units,Vacant Housing Units (%_,Owner Owned Housing ,Owner Owned Housing  (%),Renter occupied housing,Renter occupied housing (%),POPULATION_5_YEARS_AND_OVER,Median Household Income,PCT_POPULATION_UNDER_POVERTY,PCT_ALL_FAMILY_UNDER_POVERTY,POP_POVERTY_STATUS_DETERMINED,POP_200_PCT_BELOW_POVERTY,PCT_POP_200_PCT_BELOW_POVERTY,PERSON_OF_COLOR,Population under 18,Population under 18 (%),PCT_PERSON_OF_COLOR,Civilian labor force,Civilian labor force employed,Civilian labor force unemployed,Not in labor force,HH_INCOME_LESS_THAN_10_000,HH_INCOME_10_000_TO_14_999,HH_INCOME_15_000_TO_24_999,HH_INCOME_25_000_TO_34_999,HH_INCOME_35_000_TO_49_999,HH_INCOME_50_000_TO_74_999,HH_INCOME_75_000_TO_99_999,HH_INCOME_100_000_TO_149_999,HH_INCOME_150_000_TO_199_999,HH_INCOME_200_000_OR_MORE,PERCENT_UNEMPLOYED,Population per Gross Acre,Housing Units per Gross Acre,Households per Gross Acre,SHAPE_Length,SHAPE_Area,Latitude,Longitude
25,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",Greater Duwamish,1232,1.92,15847,35.9,5319,33.6,2083,13.1,136,0.9,4653,29.4,29,0.2,86,0.5,981,6.2,2560,16.2,15632,98.6,215,1.4,6094,3619,59.4,2475,40.6,2.57,6602,6094,92.3,508,7.7,2764,45.4,3330,54.6,14991,67657,14.5,12.2,15678,5253,33.5,10528,2956,18.7,66.4,9610,8971,639,3619,542,361,348,431,721,1156,742,900,545,348,6.6,12.86,5.36,4.95,37207.46399,53665453.19,47.570315,-122.309121
26,5.2,5,Judkins Park,"Judkins Park, Central Area, Little Saigon, Atlantic",Central,202.9,0.32,3675,37.9,1332,36.2,1017,27.7,41,1.1,886,24.1,11,0.3,0,0,246,6.7,142,3.9,3469,94.4,206,5.6,1833,661,36.1,1172,63.9,1.89,1943,1833,94.3,110,5.7,449,24.5,1384,75.5,3452,47428,19.3,7.1,3560,1267,35.6,2343,518,14.1,63.8,2173,2062,111,1013,277,107,234,177,153,202,151,266,192,74,5.1,18.11,9.58,9.03,13582.31093,8837338.037,47.598944,-122.308084
27,3.1,3,South Park,South Park,Greater Duwamish,693.9,1.08,3719,34.1,1243,33.4,156,4.2,17,0.5,362,9.7,156,4.2,117,3.1,383,10.3,1285,34.6,3627,97.5,92,2.5,1413,735,52,678,48,2.57,1541,1413,91.7,128,8.3,561,39.7,852,60.3,3250,35120,36.5,28,3575,2207,61.7,2476,1094,29.4,66.6,1892,1670,222,741,229,112,140,223,124,273,138,128,39,7,11.7,5.36,2.22,2.04,36300.10317,30228043.41,47.525023,-122.325335
28,4.3,4,Seward Park,"Seward Park, Hillman City",Southeast,1010.6,1.58,9050,39.6,4755,52.5,979,10.8,5,0.1,1904,21,0,0,34,0.4,510,5.6,863,9.5,8864,97.9,186,2.1,3440,2192,63.7,1248,36.3,2.58,3789,3440,90.8,349,9.2,2296,66.7,1144,33.3,8570,86348,10.2,7.8,8876,1966,22.1,4295,1866,20.6,47.5,5392,5170,222,1995,169,65,130,235,302,590,464,636,395,454,4.1,8.96,3.75,3.4,41505.06508,44022748.12,47.545644,-122.264726
29,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",Northeast,1635.1,2.55,26484,34.6,19966,75.4,453,1.7,19,0.1,3420,12.9,89,0.3,164,0.6,1264,4.8,1109,4.2,25449,96.1,1035,3.9,10406,5574,53.6,4832,46.4,2.45,11061,10406,94.1,655,5.9,6348,61,4058,39,24953,92464,14.2,3.8,25474,6044,23.7,6518,4892,18.5,24.6,14851,14144,707,7118,801,409,412,525,693,1383,1107,1938,1177,1961,4.8,16.2,6.76,6.36,45748.85048,71226010.51,47.677818,-122.294985
30,13.1,13,Belltown,"Belltown, Denny Regrade",Downtown,176.5,0.28,10282,35.6,6234,60.6,715,7,53,0.5,2196,21.4,0,0,71,0.7,414,4,599,5.8,9918,96.5,364,3.5,6986,1696,24.3,5290,75.7,1.42,7719,6986,90.5,733,9.5,1685,24.1,5301,75.9,10096,76693,14.5,5.8,10151,2592,25.5,4048,335,3.3,39.4,7417,7043,374,2464,840,543,358,293,462,695,873,1117,604,1201,5,58.25,43.73,39.58,18767.51153,7687660.43,47.615817,-122.349439
31,1.4,1,Alki/Admiral,"Alki, Admiral",Southwest,898.3,1.4,12037,46.7,9680,80.4,197,1.6,44,0.4,709,5.9,0,0,0,0,596,5,811,6.7,11882,98.7,155,1.3,5888,3186,54.1,2702,45.9,2.02,6366,5888,92.5,478,7.5,3146,53.4,2742,46.6,11491,99854,3.2,1.1,11905,1285,10.8,2357,1946,16.2,19.6,7253,7063,190,3085,96,63,434,431,481,792,567,986,957,1081,2.6,13.4,7.09,6.55,50339.65642,39129742.88,47.583521,-122.40101
32,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",East,440.9,0.69,16895,33.4,10171,60.2,1519,9,82,0.5,2910,17.2,49,0.3,30,0.2,706,4.2,1428,8.5,13197,78.1,3698,21.9,8883,1851,20.8,7032,79.2,1.49,9952,8883,89.3,1069,10.7,1526,17.2,7357,82.8,16738,57428,20,8.5,13410,4278,31.9,6724,391,2.3,39.8,9892,9318,574,6651,1297,456,706,535,914,1537,962,1134,460,882,5.8,38.32,22.57,20.15,21945.95828,19206217.02,47.609422,-122.321996
33,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",Lake Union,810.5,1.27,18070,30.5,12735,70.5,187,1,35,0.2,3256,18,48,0.3,108,0.6,926,5.1,775,4.3,17978,99.5,92,0.5,7699,2997,38.9,4702,61.1,2.34,8349,7699,92.2,650,7.8,2732,35.5,4967,64.5,17343,83927,21.2,5,17995,5530,30.7,5335,2229,12.3,29.5,11752,11235,517,4348,1040,155,400,446,873,1022,756,1435,561,1011,4.4,22.29,10.3,9.5,30364.44026,35303307.18,47.658733,-122.331104
34,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",Southwest,785.9,1.23,6278,44.7,4837,77,358,5.7,117,1.9,140,2.2,140,2.2,0,0,243,3.9,443,7.1,6260,99.7,18,0.3,2702,1773,65.6,929,34.4,2.32,2864,2702,94.3,162,5.7,2259,83.6,443,16.4,5891,107927,4,1.4,6234,461,7.4,1441,1287,20.5,23,3745,3643,102,1350,57,9,101,90,225,442,347,587,438,406,2.7,7.99,3.64,3.44,27702.72765,34233874.12,47.508091,-122.372651
35,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",Southwest,1393.1,2.18,15227,44.2,12320,80.9,287,1.9,186,1.2,742,4.9,16,0.1,31,0.2,718,4.7,927,6.1,15147,99.5,80,0.5,6823,3944,57.8,2879,42.2,2.22,7121,6823,95.8,298,4.2,4635,67.9,2188,32.1,14134,97070,6,3.4,15166,2173,14.3,2907,2814,18.5,19.1,9115,8855,260,3558,208,67,434,366,561,1067,775,1526,682,1137,2.9,10.93,5.11,4.9,48830.04832,60685103.63,47.540527,-122.385239
36,9.2,9,Licton Springs,Licton Springs,Northwest,524.6,0.82,9848,34.2,6107,62,193,2,0,0,1798,18.3,13,0.1,4,0,752,7.6,981,10,9831,99.8,17,0.2,4552,1976,43.4,2576,56.6,2.16,4795,4552,94.9,243,5.1,2217,48.7,2335,51.3,9245,80012,10.8,2.2,9817,2354,24,3741,1232,12.5,38,6978,6689,289,1700,264,183,253,338,325,703,638,1040,414,394,4.1,18.77,9.14,8.68,20290.1609,22853046.74,NA,NA
37,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",Magnolia/Queen Anne,1888.4,2.95,42570,34.3,32875,77.2,556,1.3,253,0.6,4828,11.3,69,0.2,75,0.2,2203,5.2,1711,4,40613,95.4,1957,4.6,21700,8423,38.8,13277,61.2,1.87,23497,21700,92.4,1797,7.6,8605,39.7,13095,60.3,40844,98974,7.4,2.5,40890,5573,13.6,9695,4589,10.8,22.8,29941,28930,1011,8251,711,359,856,1020,2121,3363,3270,3974,2274,3752,3.4,22.54,12.44,11.49,54354.4525,82260154.4,47.634869,-122.35707
38,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",Magnolia/Queen Anne,1968.4,3.08,13691,44.4,11269,82.3,102,0.7,22,0.2,968,7.1,70,0.5,43,0.3,557,4.1,660,4.8,13684,99.9,7,0.1,5528,3904,70.6,1624,29.4,2.48,5806,5528,95.2,278,4.8,4522,81.8,1006,18.2,12904,139671,3.1,1.4,13691,943,6.9,2422,3018,22,17.7,7462,7184,278,3451,53,51,223,56,393,708,419,992,1035,1598,3.7,6.96,2.95,2.81,49411.83828,85743405.92,47.650742,-122.405051
39,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",Downtown,180.6,0.28,5289,46.6,1755,33.2,489,9.2,199,3.8,2188,41.4,4,0.1,17,0.3,303,5.7,334,6.3,5023,95,266,5,3419,754,22.1,2665,77.9,1.47,3795,3419,90.1,376,9.9,205,6,3214,94,5242,26559,25.1,11,5261,2713,51.6,3534,294,5.6,66.8,3129,2855,274,1910,691,367,507,463,457,292,210,211,70,151,8.8,29.29,21.01,18.93,17719.21183,7865656.146,47.601071,-122.327994
40,3.3,3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",Greater Duwamish,2343.5,3.66,2665,40.1,1339,50.2,323,12.1,33,1.2,513,19.2,0,0,10,0.4,277,10.4,170,6.4,2155,80.9,510,19.1,1141,447,39.2,694,60.8,1.89,1212,1141,94.1,71,5.9,580,50.8,561,49.2,2619,74696,17.7,3.1,2554,686,26.9,1326,225,8.4,49.8,1731,1657,74,608,49,12,21,116,162,215,100,182,118,166,4.3,1.14,0.52,0.49,53360.75707,102080799.9,47.579816,-122.326818
41,4.4,4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic",Southeast,629.9,0.98,6614,43.6,4202,63.5,1165,17.6,12,0.2,604,9.1,0,0,57,0.9,329,5,245,3.7,6582,99.5,32,0.5,2708,1493,55.1,1215,44.9,2.43,2797,2708,96.8,89,3.2,1943,71.8,765,28.2,6285,100714,10.9,6.7,6554,1638,25,2412,1371,20.7,36.5,3971,3869,102,1356,270,0,193,169,224,360,134,447,326,585,2.6,10.5,4.44,4.3,29849.62626,27439653.43,47.58357,-122.293492
42,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",Southeast,1310.2,2.05,20559,38.2,6828,33.2,5831,28.4,85,0.4,5270,25.6,137,0.7,0,0,1178,5.7,1230,6,20235,98.4,324,1.6,7773,4218,54.3,3555,45.7,2.6,8113,7773,95.8,340,4.2,3986,51.3,3787,48.7,19082,58972,19.6,13.7,20270,7416,36.6,13731,4104,20,66.8,11602,10519,1083,5277,803,336,528,763,804,1355,876,1087,504,717,9.3,15.69,6.19,5.93,45667.74246,57072692.27,47.551732,-122.286215
43,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",Downtown,206.5,0.32,4872,43.3,3030,62.2,423,8.7,133,2.7,610,12.5,13,0.3,102,2.1,255,5.2,306,6.3,4079,83.7,793,16.3,2748,900,32.8,1848,67.2,1.48,3480,2748,79,732,21,635,23.1,2113,76.9,4790,79800,24.9,11.2,4588,1532,33.4,1842,216,4.4,37.8,2797,2622,175,1841,376,118,283,174,75,287,273,416,295,451,6.3,23.59,16.85,13.31,18976.07309,8994487.325,47.606689,-122.336548
44,2.3,2,Riverview,"Riverview, Delridge",Delridge Neighborhoods,1005.9,1.57,4970,37.8,2360,47.5,538,10.8,0,0,1144,23,109,2.2,0,0,333,6.7,486,9.8,4941,99.4,29,0.6,1861,1210,65,651,35,2.66,1882,1861,98.9,21,1.1,1298,69.7,563,30.3,4617,85885,11.9,9.5,4885,1363,27.9,2610,1074,21.6,52.5,2757,2560,197,1204,77,102,114,103,191,211,263,469,195,136,7.1,4.94,1.87,1.85,37828.42176,43817259.58,47.546577,-122.350063
45,11.1,11,Fremont,"Fremont, Wallingford, Northlake",Lake Union,893.6,1.4,18248,32.2,15259,83.6,133,0.7,41,0.2,1110,6.1,0,0,15,0.1,1210,6.6,480,2.6,18073,99,175,1,8984,3080,34.3,5904,65.7,2.01,9464,8984,94.9,480,5.1,3472,38.6,5512,61.4,17583,95035,5.9,1.7,18144,3032,16.7,2989,1758,9.6,16.4,14299,13865,434,2263,227,62,173,454,1221,1535,1092,1896,1065,1259,3,20.42,10.59,10.05,38111.82825,38927120.22,47.652869,-122.351393
46,3.5,3,Beacon Hill,Beacon Hill,Greater Duwamish,841.1,1.31,9241,40.7,2065,22.3,1080,11.7,0,0,4821,52.2,0,0,8,0.1,462,5,805,8.7,9127,98.8,114,1.2,3223,2349,72.9,874,27.1,2.83,3344,3223,96.4,121,3.6,2337,72.5,886,27.5,8767,67157,14.3,10.5,9201,2838,30.8,7176,1542,16.7,77.7,5517,5021,496,2342,146,113,195,392,338,568,454,546,246,225,9,10.99,3.98,3.83,27112.91059,36636855.3,47.55172,-122.301108
47,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",Lake Union,727.6,1.14,19567,32.1,11811,60.4,1135,5.8,120,0.6,3400,17.4,62,0.3,63,0.3,1392,7.1,1584,8.1,18976,97,591,3,12655,2927,23.1,9728,76.9,1.5,13519,12655,93.6,864,6.4,1876,14.8,10779,85.2,19190,93834,10,3.3,19290,3312,17.2,7756,940,4.8,39.6,15114,14385,729,3521,794,260,810,742,998,1548,1494,2512,1591,1906,4.8,26.89,18.58,17.39,36451.49273,31694570.76,47.619999,-122.33456
48,2.5,2,Highland Park,"Highland Park, Westwood, White Center, South Delridge",Delridge Neighborhoods,897.7,1.4,7054,38.1,3216,45.6,381,5.4,26,0.4,1269,18,18,0.3,0,0,1233,17.5,911,12.9,7029,99.6,25,0.4,3012,1553,51.6,1459,48.4,2.33,3052,3012,98.7,40,1.3,1369,45.5,1643,54.5,6660,55000,7.5,6.6,7021,2240,31.9,3838,1555,22,54.4,4018,3873,145,1607,82,209,331,336,355,569,412,373,195,150,3.6,7.86,3.4,3.36,31097.84366,39103231.39,47.52852,-122.341859
49,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",Northwest,1533.9,2.4,26146,37.3,21138,80.8,417,1.6,106,0.4,1873,7.2,42,0.2,52,0.2,1393,5.3,1125,4.3,25904,99.1,242,0.9,11837,6147,51.9,5690,48.1,2.19,12373,11837,95.7,536,4.3,6746,57,5091,43,24441,92464,8.4,4.3,25961,4026,15.5,5008,4542,17.4,19.2,17033,16381,652,4882,514,405,492,580,1125,2123,1261,2475,1308,1554,3.8,17.05,8.07,7.72,40919.76165,66816440.38,47.687706,-122.357087
50,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",Central,849.6,1.33,20610,33.2,13299,64.5,2701,13.1,139,0.7,1581,7.7,146,0.7,117,0.6,1194,5.8,1433,7,20174,97.9,436,2.1,9231,3616,39.2,5615,60.8,2.19,9712,9231,95,481,5,4005,43.4,5226,56.6,19853,88722,13.1,7.9,20412,5194,25.4,7311,2885,14,35.5,14516,13979,537,3462,384,213,567,632,773,1281,1070,2078,832,1401,3.7,24.26,11.43,10.87,28540.79473,37007294.51,47.617896,-122.297353
51,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",Ballard,1035.4,1.62,14961,39.6,12647,84.5,82,0.5,89,0.6,521,3.5,0,0,0,0,502,3.4,1120,7.5,14942,99.9,19,0.1,7030,3706,52.7,3324,47.3,2.13,7237,7030,97.1,207,2.9,4295,61.1,2735,38.9,14137,92037,7.3,7,14942,1951,13.1,2314,2703,18.1,15.5,9436,9111,325,3036,247,205,269,407,728,962,1035,1467,792,918,3.4,14.45,6.99,6.79,36780.18244,45104080.03,47.678658,-122.395271
52,9.5,9,Haller Lake,"Haller Lake, Pinehurst",Northwest,1247.6,1.95,10883,36.4,7129,65.5,947,8.7,66,0.6,1241,11.4,30,0.3,0,0,485,4.5,985,9.1,10796,99.2,87,0.8,4600,2338,50.8,2262,49.2,2.35,4847,4600,94.9,247,5.1,2447,53.2,2153,46.8,10248,67317,14.5,11.4,10852,3146,29,3754,2135,19.6,34.5,6510,6321,189,2352,185,225,344,331,611,848,597,779,449,231,2.9,8.72,3.89,3.69,36999.8288,54345395.18,47.723208,-122.325259
53,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",North,1210.7,1.89,14499,41.9,9278,64,1466,10.1,54,0.4,1728,11.9,105,0.7,17,0.1,782,5.4,1069,7.4,14335,98.9,164,1.1,6479,3460,53.4,3019,46.6,2.21,6892,6479,94,413,6,3063,47.3,3416,52.7,13749,96687,13,6.9,14384,3890,27,5221,2771,19.1,36,8218,7734,484,3728,543,266,656,411,636,880,786,958,530,813,5.9,11.98,5.69,5.35,47441.2501,52737272.56,47.714477,-122.28748
